id,catalog_type,assessment_name,url,remote_testing_support,adaptive_irt,test_type_keys,test_type
524,type_2_job_solution,Entry Level Customer Service 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Yes,No,"C, P","Competencies, Personality & Behavior"
512,type_2_job_solution,Entry Level Customer Service 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,Yes,No,"C, P","Competencies, Personality & Behavior"
525,type_2_job_solution,Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Yes,No,"C, P","Competencies, Personality & Behavior"
536,type_2_job_solution,Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Yes,No,"B, C, P","Biodata & Situational Judgement, Competencies, Personality & Behavior"
509,type_2_job_solution,Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,Yes,No,"P, B, C","Personality & Behavior, Biodata & Situational Judgement, Competencies"
513,type_2_job_solution,Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Yes,No,"C, P, B","Competencies, Personality & Behavior, Biodata & Situational Judgement"
86,type_2_job_solution,Event Sales Manager Solution,https://www.shl.com/products/product-catalog/view/event-sales-manager-solution/,Yes,Yes,"S, A, B, P","Simulations, Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
25,type_2_job_solution,Executive - Short Form,https://www.shl.com/products/product-catalog/view/executive-short-form/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
32,type_2_job_solution,Financial Professional - Short Form,https://www.shl.com/products/product-catalog/view/financial-professional-short-form/,Yes,No,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
73,type_2_job_solution,Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,Yes,No,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
94,type_2_job_solution,Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
95,type_2_job_solution,Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,Yes,Yes,"A, B, P, S","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
87,type_2_job_solution,Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,Yes,Yes,"S, A, B, K, P","Simulations, Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
239,type_2_job_solution,General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,Yes,No,B,Biodata & Situational Judgement
534,type_2_job_solution,General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,Yes,No,B,Biodata & Situational Judgement
533,type_2_job_solution,General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,Yes,No,B,Biodata & Situational Judgement
251,type_2_job_solution,General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Yes,No,"B, K","Biodata & Situational Judgement, Knowledge & Skills"
496,type_2_job_solution,Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,Yes,No,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
494,type_2_job_solution,Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Yes,No,"B, C","Biodata & Situational Judgement, Competencies"
497,type_2_job_solution,Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Yes,No,"P, B","Personality & Behavior, Biodata & Situational Judgement"
240,type_2_job_solution,Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,Yes,No,B,Biodata & Situational Judgement
96,type_2_job_solution,Guest Services Associate Solution,https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/,Yes,Yes,"A, B, P, S","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
241,type_2_job_solution,Healthcare Aide 7.0 Solution,https://www.shl.com/products/product-catalog/view/healthcare-aide-7-0-solution/,Yes,No,B,Biodata & Situational Judgement
65,type_2_job_solution,Healthcare Call Center Agent Solution,https://www.shl.com/products/product-catalog/view/healthcare-call-center-agent-solution/,Yes,Yes,"A, B, P, S","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
66,type_2_job_solution,Healthcare Service Associate Solution,https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
67,type_2_job_solution,Healthcare Support Specialist Solution,https://www.shl.com/products/product-catalog/view/healthcare-support-specialist-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
68,type_2_job_solution,Home Health Aide Solution,https://www.shl.com/products/product-catalog/view/home-health-aide-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
88,type_2_job_solution,Hospitality Manager Solution,https://www.shl.com/products/product-catalog/view/hospitality-manager-solution/,Yes,Yes,"A, B, K, P","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
89,type_2_job_solution,Host Solution,https://www.shl.com/products/product-catalog/view/host-solution/,Yes,Yes,"B, P","Biodata & Situational Judgement, Personality & Behavior"
242,type_2_job_solution,Industrial - Entry Level 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-0-solution/,Yes,No,B,Biodata & Situational Judgement
516,type_2_job_solution,Industrial - Entry Level 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,Yes,No,B,Biodata & Situational Judgement
519,type_2_job_solution,Industrial - Entry Level 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,Yes,No,B,Biodata & Situational Judgement
243,type_2_job_solution,Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,Yes,Yes,"A, B","Ability & Aptitude, Biodata & Situational Judgement"
515,type_2_job_solution,Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Yes,No,B,Biodata & Situational Judgement
514,type_2_job_solution,Industrial - Semi-skilled 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Yes,No,B,Biodata & Situational Judgement
522,type_2_job_solution,Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Yes,No,"A, B","Ability & Aptitude, Biodata & Situational Judgement"
523,type_2_job_solution,Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,Yes,No,"A, B","Ability & Aptitude, Biodata & Situational Judgement"
138,type_2_job_solution,Installation and Repair Technician Solution,https://www.shl.com/products/product-catalog/view/installation-and-repair-technician-solution/,Yes,Yes,"A, B, P, S","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
75,type_2_job_solution,Insurance Account Manager Solution,https://www.shl.com/products/product-catalog/view/insurance-account-manager-solution/,Yes,Yes,"A, B, P, S","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
76,type_2_job_solution,Insurance Administrative Assistant Solution,https://www.shl.com/products/product-catalog/view/insurance-administrative-assistant-solution/,Yes,Yes,"A, B, P, S","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
77,type_2_job_solution,Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/insurance-agent-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
79,type_2_job_solution,Insurance Director Solution,https://www.shl.com/products/product-catalog/view/insurance-director-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
80,type_2_job_solution,Insurance Sales Manager Solution,https://www.shl.com/products/product-catalog/view/insurance-sales-manager-solution/,Yes,Yes,"A, B, P, S","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
84,type_2_job_solution,Manager - Short Form,https://www.shl.com/products/product-catalog/view/manager-short-form/,Yes,Yes,"A, B, K, P, S","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations"
235,type_2_job_solution,Manager + 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution-3955/,Yes,Yes,"A, B, C","Ability & Aptitude, Biodata & Situational Judgement, Competencies"
505,type_2_job_solution,Manager + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,Yes,Yes,"B, C, P","Biodata & Situational Judgement, Competencies, Personality & Behavior"
531,type_2_job_solution,Manager + 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,Yes,Yes,"B, C, P","Biodata & Situational Judgement, Competencies, Personality & Behavior"
234,type_2_job_solution,Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution/,Yes,No,"B, C","Biodata & Situational Judgement, Competencies"
535,type_2_job_solution,Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,Yes,No,"B, C, P","Biodata & Situational Judgement, Competencies, Personality & Behavior"
504,type_2_job_solution,Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,Yes,No,"B, C, P","Biodata & Situational Judgement, Competencies, Personality & Behavior"
568,type_2_job_solution,Manager 8.0 JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,Yes,No,"B, K, P","Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
569,type_2_job_solution,Manager 8.0+ JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,Yes,No,"B, K, P","Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
185,type_2_job_solution,Manufacturing Production Team Member,https://www.shl.com/products/product-catalog/view/manufacturing-production-team-member/,Yes,No,"A, B","Ability & Aptitude, Biodata & Situational Judgement"
186,type_2_job_solution,Manufacturing Skilled Maintenance Worker,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Yes,No,"A, B","Ability & Aptitude, Biodata & Situational Judgement"
139,type_2_job_solution,Network Engineer/Analyst Solution,https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution/,Yes,Yes,"P, S, K, B, A","Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude"
70,type_2_job_solution,Nurse Leader Solution,https://www.shl.com/products/product-catalog/view/nurse-leader-solution/,Yes,Yes,"S, A, B, P","Simulations, Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
69,type_2_job_solution,Nurse Solution,https://www.shl.com/products/product-catalog/view/nurse-solution/,Yes,Yes,"P, A, B","Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement"
61,type_2_job_solution,Nursing Assistant Solution,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,Yes,No,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
40,type_2_job_solution,Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,Yes,No,"A, B, K, P, S","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations"
33,type_2_job_solution,Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,Yes,No,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
90,type_2_job_solution,Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
238,type_2_job_solution,Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,Yes,Yes,"A, B, C","Ability & Aptitude, Biodata & Situational Judgement, Competencies"
539,type_2_job_solution,Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,Yes,Yes,"B, C, P","Biodata & Situational Judgement, Competencies, Personality & Behavior"
507,type_2_job_solution,Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,Yes,Yes,"B, C, P","Biodata & Situational Judgement, Competencies, Personality & Behavior"
237,type_2_job_solution,Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,Yes,No,"B, C","Biodata & Situational Judgement, Competencies"
510,type_2_job_solution,Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,Yes,No,"C, B","Competencies, Biodata & Situational Judgement"
564,type_2_job_solution,Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,Yes,No,"B, K, P","Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
34,type_2_job_solution,Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,Yes,Yes,"A, B, P, S","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
85,type_2_job_solution,Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,Yes,Yes,"A, B, P, S","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
43,type_2_job_solution,Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,Yes,No,S,Simulations
101,type_2_job_solution,Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,Yes,Yes,"A, P, S, B","Ability & Aptitude, Personality & Behavior, Simulations, Biodata & Situational Judgement"
91,type_2_job_solution,Restaurant Manager Solution,https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,Yes,Yes,"A, B, P, S","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
92,type_2_job_solution,Restaurant Supervisor Solution,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
47,type_2_job_solution,Retail Consultant Solution,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
50,type_2_job_solution,Retail Manager w/ Sales Solution,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
44,type_2_job_solution,Retail Sales Associate Solution,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
82,type_2_job_solution,Sales Director Solution,https://www.shl.com/products/product-catalog/view/sales-director-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
140,type_2_job_solution,Sales Engineer Solution,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,Yes,Yes,"A, B, K, P, S","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations"
29,type_2_job_solution,Sales Manager Solution,https://www.shl.com/products/product-catalog/view/sales-manager-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
236,type_2_job_solution,Sales Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,Yes,No,"C, B","Competencies, Biodata & Situational Judgement"
537,type_2_job_solution,Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,Yes,No,"B, C","Biodata & Situational Judgement, Competencies"
54,type_2_job_solution,Sales Professional Solution,https://www.shl.com/products/product-catalog/view/sales-professional-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
53,type_2_job_solution,Sales Representative Solution,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
56,type_2_job_solution,Sales Supervisor Solution,https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
52,type_2_job_solution,Sales Support Specialist Solution,https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
81,type_2_job_solution,Senior Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/,Yes,No,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
55,type_2_job_solution,Senior Sales Professional Solution,https://www.shl.com/products/product-catalog/view/senior-sales-professional-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
93,type_2_job_solution,Server Solution,https://www.shl.com/products/product-catalog/view/server-solution/,Yes,Yes,"B, A, P","Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior"
97,type_2_job_solution,Service Associate Solution,https://www.shl.com/products/product-catalog/view/service-associate-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
98,type_2_job_solution,Service Supervisor Solution,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
46,type_2_job_solution,Stock Clerk Solution,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,Yes,No,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
233,type_2_job_solution,Store Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/store-manager-7-0-solution/,Yes,No,"B, C","Biodata & Situational Judgement, Competencies"
530,type_2_job_solution,Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,Yes,No,"B, C","Biodata & Situational Judgement, Competencies"
532,type_2_job_solution,Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,Yes,No,"C, B","Competencies, Biodata & Situational Judgement"
48,type_2_job_solution,Store Manager Solution,https://www.shl.com/products/product-catalog/view/store-manager-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
38,type_2_job_solution,Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/supervisor-short-form/,Yes,Yes,S,Simulations
232,type_2_job_solution,Supervisor 7.0 Solution,https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/,Yes,No,"B, C","Biodata & Situational Judgement, Competencies"
518,type_2_job_solution,Supervisor 7.1 (Americas),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,Yes,No,"B, C, P","Biodata & Situational Judgement, Competencies, Personality & Behavior"
517,type_2_job_solution,Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,Yes,No,"P, C, B","Personality & Behavior, Competencies, Biodata & Situational Judgement"
99,type_2_job_solution,Support Associate Solution,https://www.shl.com/products/product-catalog/view/support-associate-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
100,type_2_job_solution,Support Supervisor Solution,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,Yes,Yes,"A, P, S, B","Ability & Aptitude, Personality & Behavior, Simulations, Biodata & Situational Judgement"
49,type_2_job_solution,Technical Sales Associate Solution,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,Yes,No,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
62,type_2_job_solution,Technician/Technologist Solution,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
492,type_2_job_solution,Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Yes,No,"C, P","Competencies, Personality & Behavior"
63,type_2_job_solution,Telenurse Solution,https://www.shl.com/products/product-catalog/view/telenurse-solution/,Yes,Yes,"A, B, P","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
482,type_2_job_solution,Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,Yes,Yes,"B, K, P, S","Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations"
39,type_2_job_solution,Teller with Sales - Short Form,https://www.shl.com/products/product-catalog/view/teller-with-sales-short-form/,Yes,No,"A, B, K, P, S","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations"
64,type_2_job_solution,Transcriptionist Solution,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,Yes,Yes,"A, B, K, P","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
